last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Hernandez, Enrique,571771,333,15.5,29.7,110.4,88.3,92.7,85.9,431,178,401,120,36.7,25,7.5,5.4
Andrus, Elvis,462101,331,8.8,30.8,109.7,87.2,90.0,86.3,428,152,404,101,30.5,14,4.2,3.3
Villar, Jonathan,542340,331,2.7,27.2,110.9,87.2,91.9,84.9,430,134,399,119,36.0,17,5.1,3.3
Devers, Rafael,646240,331,10.9,30.2,116.3,90.7,95.3,89.4,447,167,399,138,41.7,30,9.1,6.1
Parra, Gerardo,467827,331,8.0,34.7,105.5,85.3,90.2,81.9,433,156,402,87,26.3,9,2.7,2.0
Kingery, Scott,664068,331,16.8,38.7,109.1,85.5,90.3,79.1,405,188,378,101,30.7,17,5.1,3.5
Russell, Addison,608365,324,12.0,36.7,108.2,86.3,90.0,83.8,409,174,379,86,26.5,7,2.2,1.5
Braun, Ryan,460075,323,5.8,36.2,116.3,91.9,97.4,87.2,443,168,401,160,49.5,35,10.8,7.8
Morales, Kendrys,434778,323,10.0,34.4,111.6,92.3,95.3,90.3,437,180,395,170,52.6,39,12.1,8.3
Pollock, A.J.,572041,321,13.2,31.5,108.6,89.0,93.7,84.5,455,183,405,130,40.6,32,10.0,7.0
Grossman, Robbie,543257,320,14.5,34.4,108.6,86.8,89.7,85.5,422,173,394,89,28.3,7,2.2,1.5
Puig, Yasiel,624577,320,12.4,34.1,115.3,89.4,93.7,87.5,463,177,413,129,40.7,34,10.6,7.7
Grandal, Yasmani,518735,319,14.0,33.2,111.0,88.9,94.5,84.5,429,187,404,127,40.4,38,11.9,7.3
DeJong, Paul,657557,318,19.1,37.7,110.4,89.3,93.4,85.6,464,205,398,128,40.3,29,9.1,5.9
Hernandez, Teoscar,606192,316,17.0,34.8,112.2,91.8,97.7,85.3,440,201,401,145,45.9,49,15.5,9.4
Soto, Juan,665742,316,5.5,30.1,113.7,89.4,97.4,84.6,440,152,395,133,42.2,31,9.8,6.3
Torres, Gleyber,650402,315,18.8,38.7,109.4,88.7,91.2,86.8,444,196,396,116,36.8,29,9.2,6.0
Gattis, Evan,594828,314,17.8,31.2,111.8,87.6,92.1,83.6,430,185,389,106,33.8,24,7.6,5.3
Pederson, Joc,592626,314,15.4,30.6,113.9,91.1,94.6,89.4,437,191,391,125,40.6,26,8.3,5.9
Goodrum, Niko,592348,314,10.8,37.6,110.7,87.7,91.5,84.4,418,176,387,111,35.4,25,8.0,5.1
McCann, James,543510,313,16.0,37.7,111.4,87.5,91.5,86.3,437,177,394,116,37.1,16,5.1,3.5
Turner, Justin,457759,313,18.3,44.7,106.5,89.1,91.4,86.7,430,204,399,115,36.7,24,7.7,5.6
Acuna Jr., Ronald,660670,313,12.9,34.2,113.9,90.8,95.3,87.1,452,181,410,146,46.6,42,13.4,8.6
Mercer, Jordy,474568,311,13.0,41.2,110.1,87.4,90.6,85.1,443,174,401,97,31.2,15,4.8,3.4
Suzuki, Kurt,435559,310,18.2,33.2,106.0,87.2,91.2,84.0,415,182,382,107,34.5,12,3.9,3.1
Engel, Adam,641553,308,12.5,27.6,113.4,84.8,91.7,80.2,423,170,399,99,32.1,8,2.6,1.7
Hernandez, Gorkys,491676,307,11.8,30.0,108.5,86.2,92.4,83.1,433,148,403,109,35.5,23,7.5,5.1
Moreland, Mitch,519048,307,11.4,33.9,114.3,90.8,95.1,86.4,443,184,417,135,44.1,36,11.7,7.8
Grichuk, Randal,545341,305,18.5,35.1,114.1,90.6,95.9,86.8,471,201,403,131,43.1,44,14.4,9.5
Ramos, Wilson,467092,304,4.4,34.2,113.3,91.3,95.4,89.2,446,150,396,143,47.2,23,7.6,5.5
Frazier, Todd,453943,304,18.6,32.2,114.1,89.6,93.8,87.5,437,194,395,111,36.6,21,6.9,4.4
Wong, Kolten,543939,302,6.8,26.5,107.1,84.4,91.1,80.1,409,149,386,93,30.9,10,3.3,2.5
Correa, Carlos,621043,302,11.6,33.1,112.8,88.2,93.7,84.5,455,164,402,101,33.4,21,7.0,4.5
Bour, Justin,571506,302,9.7,33.4,115.5,88.7,95.6,84.8,437,167,405,117,38.7,31,10.3,6.2
Kiner-Falefa, Isiah,643396,300,6.1,28.7,107.9,83.7,86.1,83.2,393,132,373,71,23.7,2,0.7,0.5
