last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Carter, Chris,474892,2015,460,245,.199,.205,-.006,.427,.441,-.014,.319,.327,-.008
Ahmed, Nick,605113,2015,459,348,.226,.227,-.001,.359,.309,.050,.276,.261,.015
Gyorko, Jedd,576397,2015,458,319,.247,.237,.010,.397,.398,-.001,.301,.298,.003
Asche, Cody,605125,2015,456,315,.245,.254,-.009,.395,.397,-.002,.298,.303,-.005
Infante, Omar,408299,2015,455,377,.220,.250,-.030,.318,.311,.007,.237,.254,-.017
Iglesias, Jose,578428,2015,454,379,.300,.270,.030,.370,.313,.057,.315,.282,.033
Hamilton, Billy,571740,2015,454,350,.226,.246,-.020,.289,.296,-.007,.251,.267,-.016
Hernandez, Cesar,514917,2015,452,324,.272,.272,.000,.348,.337,.011,.306,.303,.003
Smith, Seth,452234,2015,452,302,.248,.259,-.011,.443,.444,-.001,.331,.339,-.008
Springer, George,543807,2015,451,284,.276,.275,.001,.459,.468,-.009,.360,.363,-.003
Harrison, Josh,543281,2015,449,352,.287,.270,.017,.390,.371,.019,.313,.299,.014
Escobar, Eduardo,500871,2015,446,330,.262,.251,.011,.445,.411,.034,.323,.308,.015
Bour, Justin,571506,2015,446,309,.262,.244,.018,.479,.438,.041,.342,.320,.022
Ethier, Andre,444843,2015,445,323,.294,.291,.003,.486,.476,.010,.366,.366,.000
Davis, Khris,501981,2015,440,273,.247,.231,.016,.505,.490,.015,.353,.339,.014
Turner, Justin,457759,2015,439,319,.294,.300,-.006,.491,.489,.002,.371,.374,-.003
Lindor, Francisco,596019,2015,438,341,.313,.293,.020,.482,.411,.071,.358,.330,.028
Suzuki, Ichiro,400085,2015,438,356,.229,.244,-.015,.279,.289,-.010,.250,.264,-.014
Hardy, J.J.,429666,2015,437,329,.219,.223,-.004,.311,.307,.004,.248,.253,-.005
Pierzynski, A.J.,150229,2015,436,373,.300,.286,.014,.430,.407,.023,.333,.323,.010
Panik, Joe,605412,2015,432,347,.312,.289,.023,.455,.405,.050,.362,.337,.025
Reynolds, Mark,448602,2015,432,263,.230,.196,.034,.398,.371,.027,.311,.286,.025
Correa, Carlos,621043,2015,432,313,.279,.285,-.006,.512,.481,.031,.365,.358,.007
Mercer, Jordy,474568,2015,430,328,.244,.275,-.031,.320,.373,-.053,.265,.300,-.035
Ramirez, Hanley,434670,2015,430,334,.249,.266,-.017,.426,.416,.010,.308,.315,-.007
Goins, Ryan,572365,2015,428,305,.250,.243,.007,.354,.334,.020,.297,.291,.006
Drew, Stephen,452220,2015,428,319,.201,.209,-.008,.381,.321,.060,.284,.268,.016
Grandal, Yasmani,518735,2015,426,267,.234,.226,.008,.403,.410,-.007,.335,.337,-.002
Tomas, Yasmany,630111,2015,426,297,.273,.253,.020,.401,.365,.036,.307,.286,.021
Souza Jr., Steven,519306,2015,426,231,.225,.218,.007,.399,.374,.025,.316,.302,.014
Pedroia, Dustin,456030,2015,425,334,.291,.259,.032,.441,.377,.064,.347,.310,.037
McCann, James,543510,2015,425,316,.264,.260,.004,.387,.373,.014,.297,.292,.005
Utley, Chase,400284,2015,423,317,.212,.254,-.042,.343,.370,-.027,.274,.307,-.033
Gordon, Alex,460086,2015,422,267,.271,.261,.010,.432,.413,.019,.351,.342,.009
