,avg_hit_angle,avg_hit_speed,fbld,avg_hr_distance,ev95percent,brl_pa,ba,est_ba,slg,est_slg,woba,est_woba,Age,HR,OBP,OPS,HR_per_PA,RBI_per_PA,SO_per_PA,SH_per_PA,SF_per_PA,IBB_per_PA,CHR_per_PA,AS__2,AS__3,Tm__ATL,Tm__BAL,Tm__BOS,Tm__CHC,Tm__CHW,Tm__CIN,Tm__CLE,Tm__COL,Tm__DET,Tm__HOU,Tm__KCR,Tm__LAA,Tm__LAD,Tm__MIA,Tm__MIL,Tm__MIN,Tm__NYM,Tm__NYY,Tm__OAK,Tm__PHI,Tm__PIT,Tm__SDP,Tm__SEA,Tm__SFG,Tm__STL,Tm__TBR,Tm__TEX,Tm__TOR,Tm__TOT,Tm__WSN
114,10.6,89.1,92.3,399.0,37.5,5.1,0.225,0.263,0.383,0.4320000000000001,0.298,0.334,27.0,17,0.302,0.685,0.035175879396984924,0.10567514677103718,0.15851272015655576,0.0019569471624266144,0.003913894324853229,0.009784735812133072,0.033268101761252444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,13.0,91.9,94.5,412.0,42.7,6.8,0.262,0.258,0.449,0.445,0.327,0.324,29.0,22,0.31,0.759,0.0704647676161919,0.11743119266055047,0.24220183486238533,0.0,0.001834862385321101,0.001834862385321101,0.04036697247706422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,12.6,89.8,93.0,404.0,40.7,3.7,0.28,0.259,0.44,0.415,0.335,0.316,30.0,17,0.337,0.777,0.04411764705882353,0.13108614232209737,0.21348314606741572,0.0,0.00749063670411985,0.009363295880149813,0.031835205992509365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,8.8,88.3,92.6,383.0,34.3,3.4,0.259,0.292,0.406,0.424,0.298,0.324,24.0,10,0.29,0.696,0.020183486238532108,0.1006423982869379,0.14989293361884368,0.0021413276231263384,0.008565310492505354,0.004282655246252677,0.021413276231263382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.0,91.4,94.9,401.0,45.1,3.4,0.3,0.311,0.416,0.441,0.343,0.35600000000000004,23.0,7,0.366,0.782,0.03186646433990895,0.0838095238095238,0.19238095238095237,0.0,0.0,0.0038095238095238095,0.013333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,17.1,89.0,92.5,389.0,36.0,3.9,0.232,0.224,0.4370000000000001,0.389,0.327,0.309,31.0,26,0.32,0.7559999999999999,0.04065040650406504,0.17570093457943925,0.18130841121495328,0.0,0.013084112149532711,0.005607476635514018,0.048598130841121495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,10.3,85.4,88.5,387.0,25.5,3.0,0.3,0.28600000000000003,0.43,0.407,0.333,0.32299999999999995,38.0,9,0.339,0.769,0.007722007722007722,0.11238532110091744,0.08486238532110092,0.0,0.006880733944954129,0.0045871559633027525,0.020642201834862386,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,5.9,87.0,90.9,410.0,33.9,2.2,0.297,0.264,0.418,0.3720000000000001,0.333,0.304,23.0,8,0.344,0.762,0.022865853658536585,0.07635009310986965,0.24022346368715083,0.00931098696461825,0.00186219739292365,0.0,0.0148975791433892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,11.1,86.5,88.1,390.0,28.9,2.6,0.257,0.269,0.345,0.363,0.294,0.311,31.0,7,0.318,0.6629999999999999,0.014376996805111819,0.0658682634730539,0.17165668662674652,0.001996007984031936,0.005988023952095809,0.001996007984031936,0.013972055888223553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,17.3,91.8,96.5,404.0,46.2,9.7,0.262,0.264,0.562,0.59,0.39,0.398,29.0,47,0.361,0.923,0.057142857142857134,0.1746268656716418,0.31044776119402984,0.0,0.007462686567164179,0.008955223880597015,0.07014925373134329,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
